,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,age_groups,female_from_2nd_class
0,0,3,1,22.0,1,0,7.25,S,Third,0,1,Unknown,Southampton,no,0,"(15, 25]",0
1,1,1,0,38.0,1,0,71.2833,C,First,1,0,C,Cherbourg,yes,0,"(35, 45]",1
2,1,3,0,26.0,0,0,7.925,S,Third,1,0,Unknown,Southampton,yes,1,"(25, 35]",0
3,1,1,0,35.0,1,0,53.1,S,First,1,0,C,Southampton,yes,0,"(25, 35]",1
4,0,3,1,35.0,0,0,8.05,S,Third,0,1,Unknown,Southampton,no,1,"(25, 35]",0
5,0,3,1,32.973597359735976,0,0,8.4583,Q,Third,0,1,Unknown,Queenstown,no,1,"(25, 35]",0
6,0,1,1,54.0,0,0,51.8625,S,First,0,1,E,Southampton,no,1,"(45, 60]",0
7,0,3,1,2.0,3,1,21.075,S,Third,3,0,Unknown,Southampton,no,0,"(0, 15]",0
8,1,3,0,27.0,0,2,11.1333,S,Third,1,0,Unknown,Southampton,yes,0,"(25, 35]",0
9,1,2,0,14.0,1,0,30.0708,C,Second,3,0,Unknown,Cherbourg,yes,0,"(0, 15]",1
10,1,3,0,4.0,1,1,16.7,S,Third,3,0,G,Southampton,yes,0,"(0, 15]",0
11,1,1,0,58.0,0,0,26.55,S,First,1,0,C,Southampton,yes,1,"(45, 60]",1
12,0,3,1,20.0,0,0,8.05,S,Third,0,1,Unknown,Southampton,no,1,"(15, 25]",0
13,0,3,1,39.0,1,5,31.275,S,Third,0,1,Unknown,Southampton,no,0,"(35, 45]",0
14,0,3,0,14.0,0,0,7.8542,S,Third,3,0,Unknown,Southampton,no,1,"(0, 15]",0
15,1,2,0,55.0,0,0,16.0,S,Second,1,0,Unknown,Southampton,yes,1,"(45, 60]",1
16,0,3,1,2.0,4,1,29.125,Q,Third,3,0,Unknown,Queenstown,no,0,"(0, 15]",0
17,1,2,1,32.973597359735976,0,0,13.0,S,Second,0,1,Unknown,Southampton,yes,1,"(25, 35]",0
18,0,3,0,31.0,1,0,18.0,S,Third,1,0,Unknown,Southampton,no,0,"(25, 35]",0
19,1,3,0,31.08421052631579,0,0,7.225,C,Third,1,0,Unknown,Cherbourg,yes,1,"(25, 35]",0
20,0,2,1,35.0,0,0,26.0,S,Second,0,1,Unknown,Southampton,no,1,"(25, 35]",0
21,1,2,1,34.0,0,0,13.0,S,Second,0,1,D,Southampton,yes,1,"(25, 35]",0
22,1,3,0,15.0,0,0,8.0292,Q,Third,3,0,Unknown,Queenstown,yes,1,"(0, 15]",0
23,1,1,1,28.0,0,0,35.5,S,First,0,1,A,Southampton,yes,1,"(25, 35]",0
24,0,3,0,8.0,3,1,21.075,S,Third,3,0,Unknown,Southampton,no,0,"(0, 15]",0
25,1,3,0,38.0,1,5,31.3875,S,Third,1,0,Unknown,Southampton,yes,0,"(35, 45]",0
26,0,3,1,32.973597359735976,0,0,7.225,C,Third,0,1,Unknown,Cherbourg,no,1,"(25, 35]",0
27,0,1,1,19.0,3,2,263.0,S,First,0,1,C,Southampton,no,0,"(15, 25]",0
28,1,3,0,31.08421052631579,0,0,7.8792,Q,Third,1,0,Unknown,Queenstown,yes,1,"(25, 35]",0
29,0,3,1,32.973597359735976,0,0,7.8958,S,Third,0,1,Unknown,Southampton,no,1,"(25, 35]",0
30,0,1,1,40.0,0,0,27.7208,C,First,0,1,Unknown,Cherbourg,no,1,"(35, 45]",0
31,1,1,0,33.355555555555554,1,0,146.5208,C,First,1,0,B,Cherbourg,yes,0,"(25, 35]",1
32,1,3,0,31.08421052631579,0,0,7.75,Q,Third,1,0,Unknown,Queenstown,yes,1,"(25, 35]",0
33,0,2,1,66.0,0,0,10.5,S,Second,0,1,Unknown,Southampton,no,1,"(60, 80]",0
34,0,1,1,28.0,1,0,82.1708,C,First,0,1,Unknown,Cherbourg,no,0,"(25, 35]",0
35,0,1,1,42.0,1,0,52.0,S,First,0,1,Unknown,Southampton,no,0,"(35, 45]",0
36,1,3,1,32.973597359735976,0,0,7.2292,C,Third,0,1,Unknown,Cherbourg,yes,1,"(25, 35]",0
37,0,3,1,21.0,0,0,8.05,S,Third,0,1,Unknown,Southampton,no,1,"(15, 25]",0
38,0,3,0,18.0,2,0,18.0,S,Third,1,0,Unknown,Southampton,no,0,"(15, 25]",0
39,1,3,0,14.0,1,0,11.2417,C,Third,3,0,Unknown,Cherbourg,yes,0,"(0, 15]",0
40,0,3,0,40.0,1,0,9.475,S,Third,1,0,Unknown,Southampton,no,0,"(35, 45]",0
41,0,2,0,27.0,1,0,21.0,S,Second,1,0,Unknown,Southampton,no,0,"(25, 35]",1
42,0,3,1,32.973597359735976,0,0,7.8958,C,Third,0,1,Unknown,Cherbourg,no,1,"(25, 35]",0
43,1,2,0,3.0,1,2,41.5792,C,Second,3,0,Unknown,Cherbourg,yes,0,"(0, 15]",1
44,1,3,0,19.0,0,0,7.8792,Q,Third,1,0,Unknown,Queenstown,yes,1,"(15, 25]",0
45,0,3,1,32.973597359735976,0,0,8.05,S,Third,0,1,Unknown,Southampton,no,1,"(25, 35]",0
46,0,3,1,32.70192307692308,1,0,15.5,Q,Third,0,1,Unknown,Queenstown,no,0,"(25, 35]",0
47,1,3,0,31.08421052631579,0,0,7.75,Q,Third,1,0,Unknown,Queenstown,yes,1,"(25, 35]",0
48,0,3,1,31.181818181818183,2,0,21.6792,C,Third,0,1,Unknown,Cherbourg,no,0,"(25, 35]",0
49,0,3,0,18.0,1,0,17.8,S,Third,1,0,Unknown,Southampton,no,0,"(15, 25]",0
50,0,3,1,7.0,4,1,39.6875,S,Third,3,0,Unknown,Southampton,no,0,"(0, 15]",0
51,0,3,1,21.0,0,0,7.8,S,Third,0,1,Unknown,Southampton,no,1,"(15, 25]",0
52,1,1,0,49.0,1,0,76.7292,C,First,1,0,D,Cherbourg,yes,0,"(45, 60]",1
53,1,2,0,29.0,1,0,26.0,S,Second,1,0,Unknown,Southampton,yes,0,"(25, 35]",1
54,0,1,1,65.0,0,1,61.9792,C,First,0,1,B,Cherbourg,no,0,"(60, 80]",0
55,1,1,1,32.973597359735976,0,0,35.5,S,First,0,1,C,Southampton,yes,1,"(25, 35]",0
56,1,2,0,21.0,0,0,10.5,S,Second,1,0,Unknown,Southampton,yes,1,"(15, 25]",1
57,0,3,1,28.5,0,0,7.2292,C,Third,0,1,Unknown,Cherbourg,no,1,"(25, 35]",0
58,1,2,0,5.0,1,2,27.75,S,Second,3,0,Unknown,Southampton,yes,0,"(0, 15]",1
59,0,3,1,11.0,5,2,46.9,S,Third,3,0,Unknown,Southampton,no,0,"(0, 15]",0
60,0,3,1,22.0,0,0,7.2292,C,Third,0,1,Unknown,Cherbourg,no,1,"(15, 25]",0
61,1,1,0,38.0,0,0,80.0,,First,1,0,B,Southampton,yes,1,"(35, 45]",1
62,0,1,1,45.0,1,0,83.475,S,First,0,1,C,Southampton,no,0,"(35, 45]",0
63,0,3,1,4.0,3,2,27.9,S,Third,3,0,Unknown,Southampton,no,0,"(0, 15]",0
64,0,1,1,32.973597359735976,0,0,27.7208,C,First,0,1,Unknown,Cherbourg,no,1,"(25, 35]",0
65,1,3,1,36.0,1,1,15.2458,C,Third,0,1,Unknown,Cherbourg,yes,0,"(35, 45]",0
66,1,2,0,29.0,0,0,10.5,S,Second,1,0,F,Southampton,yes,1,"(25, 35]",1
67,0,3,1,19.0,0,0,8.1583,S,Third,0,1,Unknown,Southampton,no,1,"(15, 25]",0
68,1,3,0,17.0,4,2,7.925,S,Third,1,0,Unknown,Southampton,yes,0,"(15, 25]",0
69,0,3,1,26.0,2,0,8.6625,S,Third,0,1,Unknown,Southampton,no,0,"(25, 35]",0
70,0,2,1,32.0,0,0,10.5,S,Second,0,1,Unknown,Southampton,no,1,"(25, 35]",0
71,0,3,0,16.0,5,2,46.9,S,Third,1,0,Unknown,Southampton,no,0,"(15, 25]",0
72,0,2,1,21.0,0,0,73.5,S,Second,0,1,Unknown,Southampton,no,1,"(15, 25]",0
73,0,3,1,26.0,1,0,14.4542,C,Third,0,1,Unknown,Cherbourg,no,0,"(25, 35]",0
74,1,3,1,32.0,0,0,56.4958,S,Third,0,1,Unknown,Southampton,yes,1,"(25, 35]",0
75,0,3,1,25.0,0,0,7.65,S,Third,0,1,F,Southampton,no,1,"(15, 25]",0
76,0,3,1,32.973597359735976,0,0,7.8958,S,Third,0,1,Unknown,Southampton,no,1,"(25, 35]",0
77,0,3,1,32.973597359735976,0,0,8.05,S,Third,0,1,Unknown,Southampton,no,1,"(25, 35]",0
78,1,2,1,0.83,0,2,29.0,S,Second,3,0,Unknown,Southampton,yes,0,"(0, 15]",0
79,1,3,0,30.0,0,0,12.475,S,Third,1,0,Unknown,Southampton,yes,1,"(25, 35]",0
80,0,3,1,22.0,0,0,9.0,S,Third,0,1,Unknown,Southampton,no,1,"(15, 25]",0
81,1,3,1,29.0,0,0,9.5,S,Third,0,1,Unknown,Southampton,yes,1,"(25, 35]",0
82,1,3,0,31.08421052631579,0,0,7.7875,Q,Third,1,0,Unknown,Queenstown,yes,1,"(25, 35]",0
83,0,1,1,28.0,0,0,47.1,S,First,0,1,Unknown,Southampton,no,1,"(25, 35]",0
84,1,2,0,17.0,0,0,10.5,S,Second,1,0,Unknown,Southampton,yes,1,"(15, 25]",1
85,1,3,0,33.0,3,0,15.85,S,Third,1,0,Unknown,Southampton,yes,0,"(25, 35]",0
86,0,3,1,16.0,1,3,34.375,S,Third,0,1,Unknown,Southampton,no,0,"(15, 25]",0
87,0,3,1,32.973597359735976,0,0,8.05,S,Third,0,1,Unknown,Southampton,no,1,"(25, 35]",0
88,1,1,0,23.0,3,2,263.0,S,First,1,0,C,Southampton,yes,0,"(15, 25]",1
89,0,3,1,24.0,0,0,8.05,S,Third,0,1,Unknown,Southampton,no,1,"(15, 25]",0
90,0,3,1,29.0,0,0,8.05,S,Third,0,1,Unknown,Southampton,no,1,"(25, 35]",0
91,0,3,1,20.0,0,0,7.8542,S,Third,0,1,Unknown,Southampton,no,1,"(15, 25]",0
92,0,1,1,46.0,1,0,61.175,S,First,0,1,E,Southampton,no,0,"(45, 60]",0
93,0,3,1,26.0,1,2,20.575,S,Third,0,1,Unknown,Southampton,no,0,"(25, 35]",0
94,0,3,1,59.0,0,0,7.25,S,Third,0,1,Unknown,Southampton,no,1,"(45, 60]",0
95,0,3,1,32.973597359735976,0,0,8.05,S,Third,0,1,Unknown,Southampton,no,1,"(25, 35]",0
96,0,1,1,71.0,0,0,34.6542,C,First,0,1,A,Cherbourg,no,1,"(60, 80]",0
97,1,1,1,23.0,0,1,63.3583,C,First,0,1,D,Cherbourg,yes,0,"(15, 25]",0
98,1,2,0,34.0,0,1,23.0,S,Second,1,0,Unknown,Southampton,yes,0,"(25, 35]",1
99,0,2,1,34.0,1,0,26.0,S,Second,0,1,Unknown,Southampton,no,0,"(25, 35]",0
100,0,3,0,28.0,0,0,7.8958,S,Third,1,0,Unknown,Southampton,no,1,"(25, 35]",0
101,0,3,1,32.973597359735976,0,0,7.8958,S,Third,0,1,Unknown,Southampton,no,1,"(25, 35]",0
102,0,1,1,21.0,0,1,77.2875,S,First,0,1,D,Southampton,no,0,"(15, 25]",0
103,0,3,1,33.0,0,0,8.6542,S,Third,0,1,Unknown,Southampton,no,1,"(25, 35]",0
104,0,3,1,37.0,2,0,7.925,S,Third,0,1,Unknown,Southampton,no,0,"(35, 45]",0
105,0,3,1,28.0,0,0,7.8958,S,Third,0,1,Unknown,Southampton,no,1,"(25, 35]",0
106,1,3,0,21.0,0,0,7.65,S,Third,1,0,Unknown,Southampton,yes,1,"(15, 25]",0
107,1,3,1,32.973597359735976,0,0,7.775,S,Third,0,1,Unknown,Southampton,yes,1,"(25, 35]",0
108,0,3,1,38.0,0,0,7.8958,S,Third,0,1,Unknown,Southampton,no,1,"(35, 45]",0
109,1,3,0,33.355555555555554,1,0,24.15,Q,Third,1,0,Unknown,Queenstown,yes,0,"(25, 35]",0
110,0,1,1,47.0,0,0,52.0,S,First,0,1,C,Southampton,no,1,"(45, 60]",0
111,0,3,0,14.5,1,0,14.4542,C,Third,3,0,Unknown,Cherbourg,no,0,"(0, 15]",0
112,0,3,1,22.0,0,0,8.05,S,Third,0,1,Unknown,Southampton,no,1,"(15, 25]",0
113,0,3,0,20.0,1,0,9.825,S,Third,1,0,Unknown,Southampton,no,0,"(15, 25]",0
114,0,3,0,17.0,0,0,14.4583,C,Third,1,0,Unknown,Cherbourg,no,1,"(15, 25]",0
115,0,3,1,21.0,0,0,7.925,S,Third,0,1,Unknown,Southampton,no,1,"(15, 25]",0
116,0,3,1,70.5,0,0,7.75,Q,Third,0,1,Unknown,Queenstown,no,1,"(60, 80]",0
117,0,2,1,29.0,1,0,21.0,S,Second,0,1,Unknown,Southampton,no,0,"(25, 35]",0
118,0,1,1,24.0,0,1,247.5208,C,First,0,1,B,Cherbourg,no,0,"(15, 25]",0
119,0,3,0,2.0,4,2,31.275,S,Third,3,0,Unknown,Southampton,no,0,"(0, 15]",0
120,0,2,1,21.0,2,0,73.5,S,Second,0,1,Unknown,Southampton,no,0,"(15, 25]",0
121,0,3,1,32.973597359735976,0,0,8.05,S,Third,0,1,Unknown,Southampton,no,1,"(25, 35]",0
122,0,2,1,32.5,1,0,30.0708,C,Second,0,1,Unknown,Cherbourg,no,0,"(25, 35]",0
123,1,2,0,32.5,0,0,13.0,S,Second,1,0,E,Southampton,yes,1,"(25, 35]",1
124,0,1,1,54.0,0,1,77.2875,S,First,0,1,D,Southampton,no,0,"(45, 60]",0
125,1,3,1,12.0,1,0,11.2417,C,Third,3,0,Unknown,Cherbourg,yes,0,"(0, 15]",0
126,0,3,1,32.973597359735976,0,0,7.75,Q,Third,0,1,Unknown,Queenstown,no,1,"(25, 35]",0
127,1,3,1,24.0,0,0,7.1417,S,Third,0,1,Unknown,Southampton,yes,1,"(15, 25]",0
128,1,3,0,35.45,1,1,22.3583,C,Third,1,0,F,Cherbourg,yes,0,"(35, 45]",0
129,0,3,1,45.0,0,0,6.975,S,Third,0,1,Unknown,Southampton,no,1,"(35, 45]",0
130,0,3,1,33.0,0,0,7.8958,C,Third,0,1,Unknown,Cherbourg,no,1,"(25, 35]",0
131,0,3,1,20.0,0,0,7.05,S,Third,0,1,Unknown,Southampton,no,1,"(15, 25]",0
132,0,3,0,47.0,1,0,14.5,S,Third,1,0,Unknown,Southampton,no,0,"(45, 60]",0
133,1,2,0,29.0,1,0,26.0,S,Second,1,0,Unknown,Southampton,yes,0,"(25, 35]",1
134,0,2,1,25.0,0,0,13.0,S,Second,0,1,Unknown,Southampton,no,1,"(15, 25]",0
135,0,2,1,23.0,0,0,15.0458,C,Second,0,1,Unknown,Cherbourg,no,1,"(15, 25]",0
136,1,1,0,19.0,0,2,26.2833,S,First,1,0,D,Southampton,yes,0,"(15, 25]",1
137,0,1,1,37.0,1,0,53.1,S,First,0,1,C,Southampton,no,0,"(35, 45]",0
138,0,3,1,16.0,0,0,9.2167,S,Third,0,1,Unknown,Southampton,no,1,"(15, 25]",0
139,0,1,1,24.0,0,0,79.2,C,First,0,1,B,Cherbourg,no,1,"(15, 25]",0
140,0,3,0,26.833333333333332,0,2,15.2458,C,Third,1,0,Unknown,Cherbourg,no,0,"(25, 35]",0
141,1,3,0,22.0,0,0,7.75,S,Third,1,0,Unknown,Southampton,yes,1,"(15, 25]",0
142,1,3,0,24.0,1,0,15.85,S,Third,1,0,Unknown,Southampton,yes,0,"(15, 25]",0
143,0,3,1,19.0,0,0,6.75,Q,Third,0,1,Unknown,Queenstown,no,1,"(15, 25]",0
144,0,2,1,18.0,0,0,11.5,S,Second,0,1,Unknown,Southampton,no,1,"(15, 25]",0
145,0,2,1,19.0,1,1,36.75,S,Second,0,1,Unknown,Southampton,no,0,"(15, 25]",0
146,1,3,1,27.0,0,0,7.7958,S,Third,0,1,Unknown,Southampton,yes,1,"(25, 35]",0
147,0,3,0,9.0,2,2,34.375,S,Third,3,0,Unknown,Southampton,no,0,"(0, 15]",0
148,0,2,1,36.5,0,2,26.0,S,Second,0,1,F,Southampton,no,0,"(35, 45]",0
149,0,2,1,42.0,0,0,13.0,S,Second,0,1,Unknown,Southampton,no,1,"(35, 45]",0
150,0,2,1,51.0,0,0,12.525,S,Second,0,1,Unknown,Southampton,no,1,"(45, 60]",0
151,1,1,0,22.0,1,0,66.6,S,First,1,0,C,Southampton,yes,0,"(15, 25]",1
152,0,3,1,55.5,0,0,8.05,S,Third,0,1,Unknown,Southampton,no,1,"(45, 60]",0
153,0,3,1,40.5,0,2,14.5,S,Third,0,1,Unknown,Southampton,no,0,"(35, 45]",0
154,0,3,1,32.973597359735976,0,0,7.3125,S,Third,0,1,Unknown,Southampton,no,1,"(25, 35]",0
155,0,1,1,51.0,0,1,61.3792,C,First,0,1,Unknown,Cherbourg,no,0,"(45, 60]",0
156,1,3,0,16.0,0,0,7.7333,Q,Third,1,0,Unknown,Queenstown,yes,1,"(15, 25]",0
157,0,3,1,30.0,0,0,8.05,S,Third,0,1,Unknown,Southampton,no,1,"(25, 35]",0
158,0,3,1,32.973597359735976,0,0,8.6625,S,Third,0,1,Unknown,Southampton,no,1,"(25, 35]",0
159,0,3,1,6.369518072289157,8,2,69.55,S,Third,0,1,Unknown,Southampton,no,0,"(0, 15]",0
160,0,3,1,44.0,0,1,16.1,S,Third,0,1,Unknown,Southampton,no,0,"(35, 45]",0
161,1,2,0,40.0,0,0,15.75,S,Second,1,0,Unknown,Southampton,yes,1,"(35, 45]",1
162,0,3,1,26.0,0,0,7.775,S,Third,0,1,Unknown,Southampton,no,1,"(25, 35]",0
163,0,3,1,17.0,0,0,8.6625,S,Third,0,1,Unknown,Southampton,no,1,"(15, 25]",0
164,0,3,1,1.0,4,1,39.6875,S,Third,3,0,Unknown,Southampton,no,0,"(0, 15]",0
165,1,3,1,9.0,0,2,20.525,S,Third,3,0,Unknown,Southampton,yes,0,"(0, 15]",0
166,1,1,0,34.1764705882353,0,1,55.0,S,First,1,0,E,Southampton,yes,0,"(25, 35]",1
167,0,3,0,45.0,1,4,27.9,S,Third,1,0,Unknown,Southampton,no,0,"(35, 45]",0
168,0,1,1,32.973597359735976,0,0,25.925,S,First,0,1,Unknown,Southampton,no,1,"(25, 35]",0
169,0,3,1,28.0,0,0,56.4958,S,Third,0,1,Unknown,Southampton,no,1,"(25, 35]",0
170,0,1,1,61.0,0,0,33.5,S,First,0,1,B,Southampton,no,1,"(60, 80]",0
171,0,3,1,4.0,4,1,29.125,Q,Third,3,0,Unknown,Queenstown,no,0,"(0, 15]",0
172,1,3,0,1.0,1,1,11.1333,S,Third,3,0,Unknown,Southampton,yes,0,"(0, 15]",0
173,0,3,1,21.0,0,0,7.925,S,Third,0,1,Unknown,Southampton,no,1,"(15, 25]",0
174,0,1,1,56.0,0,0,30.6958,C,First,0,1,A,Cherbourg,no,1,"(45, 60]",0
175,0,3,1,18.0,1,1,7.8542,S,Third,0,1,Unknown,Southampton,no,0,"(15, 25]",0
176,0,3,1,4.333333333333333,3,1,25.4667,S,Third,0,1,Unknown,Southampton,no,0,"(0, 15]",0
177,0,1,0,50.0,0,0,28.7125,C,First,1,0,C,Cherbourg,no,1,"(45, 60]",1
178,0,2,1,30.0,0,0,13.0,S,Second,0,1,Unknown,Southampton,no,1,"(25, 35]",0
179,0,3,1,36.0,0,0,0.0,S,Third,0,1,Unknown,Southampton,no,1,"(35, 45]",0
180,0,3,0,6.369518072289157,8,2,69.55,S,Third,1,0,Unknown,Southampton,no,0,"(0, 15]",0
181,0,2,1,32.973597359735976,0,0,15.05,C,Second,0,1,Unknown,Cherbourg,no,1,"(25, 35]",0
182,0,3,1,9.0,4,2,31.3875,S,Third,3,0,Unknown,Southampton,no,0,"(0, 15]",0
183,1,2,1,1.0,2,1,39.0,S,Second,3,0,F,Southampton,yes,0,"(0, 15]",0
184,1,3,0,4.0,0,2,22.025,S,Third,3,0,Unknown,Southampton,yes,0,"(0, 15]",0
185,0,1,1,32.973597359735976,0,0,50.0,S,First,0,1,A,Southampton,no,1,"(25, 35]",0
186,1,3,0,33.355555555555554,1,0,15.5,Q,Third,1,0,Unknown,Queenstown,yes,0,"(25, 35]",0
187,1,1,1,45.0,0,0,26.55,S,First,0,1,Unknown,Southampton,yes,1,"(35, 45]",0
188,0,3,1,40.0,1,1,15.5,Q,Third,0,1,Unknown,Queenstown,no,0,"(35, 45]",0
189,0,3,1,36.0,0,0,7.8958,S,Third,0,1,Unknown,Southampton,no,1,"(35, 45]",0
190,1,2,0,32.0,0,0,13.0,S,Second,1,0,Unknown,Southampton,yes,1,"(25, 35]",1
191,0,2,1,19.0,0,0,13.0,S,Second,0,1,Unknown,Southampton,no,1,"(15, 25]",0
192,1,3,0,19.0,1,0,7.8542,S,Third,1,0,Unknown,Southampton,yes,0,"(15, 25]",0
193,1,2,1,3.0,1,1,26.0,S,Second,3,0,F,Southampton,yes,0,"(0, 15]",0
194,1,1,0,44.0,0,0,27.7208,C,First,1,0,B,Cherbourg,yes,1,"(35, 45]",1
195,1,1,0,58.0,0,0,146.5208,C,First,1,0,B,Cherbourg,yes,1,"(45, 60]",1
196,0,3,1,32.973597359735976,0,0,7.75,Q,Third,0,1,Unknown,Queenstown,no,1,"(25, 35]",0
197,0,3,1,42.0,0,1,8.4042,S,Third,0,1,Unknown,Southampton,no,0,"(35, 45]",0
198,1,3,0,31.08421052631579,0,0,7.75,Q,Third,1,0,Unknown,Queenstown,yes,1,"(25, 35]",0
199,0,2,0,24.0,0,0,13.0,S,Second,1,0,Unknown,Southampton,no,1,"(15, 25]",1
200,0,3,1,28.0,0,0,9.5,S,Third,0,1,Unknown,Southampton,no,1,"(25, 35]",0
201,0,3,1,6.369518072289157,8,2,69.55,S,Third,0,1,Unknown,Southampton,no,0,"(0, 15]",0
202,0,3,1,34.0,0,0,6.4958,S,Third,0,1,Unknown,Southampton,no,1,"(25, 35]",0
203,0,3,1,45.5,0,0,7.225,C,Third,0,1,Unknown,Cherbourg,no,1,"(45, 60]",0
204,1,3,1,18.0,0,0,8.05,S,Third,0,1,Unknown,Southampton,yes,1,"(15, 25]",0
205,0,3,0,2.0,0,1,10.4625,S,Third,3,0,G,Southampton,no,0,"(0, 15]",0
206,0,3,1,32.0,1,0,15.85,S,Third,0,1,Unknown,Southampton,no,0,"(25, 35]",0
207,1,3,1,26.0,0,0,18.7875,C,Third,0,1,Unknown,Cherbourg,yes,1,"(25, 35]",0
208,1,3,0,16.0,0,0,7.75,Q,Third,1,0,Unknown,Queenstown,yes,1,"(15, 25]",0
209,1,1,1,40.0,0,0,31.0,C,First,0,1,A,Cherbourg,yes,1,"(35, 45]",0
210,0,3,1,24.0,0,0,7.05,S,Third,0,1,Unknown,Southampton,no,1,"(15, 25]",0
211,1,2,0,35.0,0,0,21.0,S,Second,1,0,Unknown,Southampton,yes,1,"(25, 35]",1
212,0,3,1,22.0,0,0,7.25,S,Third,0,1,Unknown,Southampton,no,1,"(15, 25]",0
213,0,2,1,30.0,0,0,13.0,S,Second,0,1,Unknown,Southampton,no,1,"(25, 35]",0
214,0,3,1,32.70192307692308,1,0,7.75,Q,Third,0,1,Unknown,Queenstown,no,0,"(25, 35]",0
215,1,1,0,31.0,1,0,113.275,C,First,1,0,D,Cherbourg,yes,0,"(25, 35]",1
216,1,3,0,27.0,0,0,7.925,S,Third,1,0,Unknown,Southampton,yes,1,"(25, 35]",0
217,0,2,1,42.0,1,0,27.0,S,Second,0,1,Unknown,Southampton,no,0,"(35, 45]",0
218,1,1,0,32.0,0,0,76.2917,C,First,1,0,D,Cherbourg,yes,1,"(25, 35]",1
219,0,2,1,30.0,0,0,10.5,S,Second,0,1,Unknown,Southampton,no,1,"(25, 35]",0
220,1,3,1,16.0,0,0,8.05,S,Third,0,1,Unknown,Southampton,yes,1,"(15, 25]",0
221,0,2,1,27.0,0,0,13.0,S,Second,0,1,Unknown,Southampton,no,1,"(25, 35]",0
